;Text;Sentiment - TTB;Sentiment - TCTB;Sentiment - TVD;Sentiment - TCVD;True sentiment
10;One of the first comment                  ;Positive;Positive;Neutral;Neutral;Neutral
287;THIS SHOWCASE SUPPOSED TO HAVE MIC DROP MOMENTS PFFT                  ;Neutral;Neutral;Negative;Negative;Negative
1144;The first time I watched this I didnt really understand Gamepass properly so I looked into it I now have an Xbox Series X on Preorder                  ;Positive;Positive;Neutral;Neutral;Positive
830;i like the game and i love what im seeing but i hope we dont stray tooo far from the path i dont want another halo 3 but i want what was in halo 3 everything else besides reach isnt cannon its halo at the end of the day halo 5 wasnt even bad and i didnt min 4 when it came out                 ;Negative;Negative;Positive;Positive;Positive
239;It was decent                  ;Positive;Positive;Neutral;Neutral;Positive
470;Halo looked like halo as it should be                   ;Neutral;Neutral;Positive;Positive;Positive
796;Ori at 120fps my god                  ;Neutral;Neutral;Positive;Positive;Positive
635;Xbox lose                  ;Neutral;Neutral;Negative;Negative;Negative
674;I have tried so hard to like Xbox but they just dont make games I want to play                  ;Negative;Negative;Positive;Positive;Negative
74;They hyped it up so much to be meh                  ;Positive;Positive;Negative;Negative;Negative
100;All Trailers with there own Links  Official Xbox Games Showcase Summary DRAGON QUEST XI S Echoes of an Elusive Age  Definitive Edition    EXOMECHA    Watch Dogs Leg on Resistance   ut beco watch vTfj k7qd 0g ch Ge e ation  ttps ww you ube comwa chv MTa9p;Positive;Neutral;Neutral;Neutral;Neutral
504;flop                  ;Neutral;Neutral;Negative;Negative;Negative
443;Halo looks worse than some Xbox one X games lol                  ;Positive;Negative;Negative;Negative;Negative
817;Imagine loosing your shield on normal mode                  ;Positive;Positive;Neutral;Negative;Neutral
296;Halo infinite look like nova mobile                  ;Neutral;Neutral;Positive;Positive;Negative
1049;THANK YOU FOR PERSIANFARSI SUBTITLES                  ;Neutral;Neutral;Positive;Positive;Positive
520;Wow XBOX disappointing fans another level                  ;Negative;Positive;Positive;Positive;Negative
708;I like how the warthog just pops                  ;Neutral;Neutral;Positive;Positive;Positive
433;Somebody has been playing Doom Eternal at 343                  ;Neutral;Neutral;Negative;Negative;Neutral
447;Fey lives matter                  ;Neutral;Neutral;Positive;Positive;Neutral
475;Nah                  ;Neutral;Neutral;Negative;Negative;Negative
436;the one game i wanted was fable and it was at the end yesssss                  ;Negative;Negative;Neutral;Positive;Positive
887;as someone that has been very medium and has had psychosis in the past i dont think i will be playing the medium game as it will give me flash backs of seeing shadow people and hearing voices                  ;Negative;Negative;Positive;Negative;Negative
121;Blew the ps5 event that one was filled with bugsnax and goodbye volcano high this one had THE games                  ;Positive;Negative;Neutral;Neutral;Positive
793;Uhm Pathys grapple and Bloodhounds scan on my spartan YES                  ;Neutral;Neutral;Positive;Positive;Positive
547;Ps5 and Xbox game the same                  ;Negative;Negative;Neutral;Neutral;Neutral
584;Does anyone else not like the 117 on Master Chiefs armour                  ;Neutral;Neutral;Negative;Positive;Negative
806;crossfire looks like splinter cell in my option                  ;Neutral;Neutral;Positive;Positive;Neutral
1105; Halo Infinite  State Of Decay 3  Forza Motorsport  Everwild  Tell Me Why  Outer Worlds Peril On Gorgon  Grounded  Avowed  As Dusk Falls  Hellblade 2  Psychonauts 2  STALKER 2  Warhammer 0000 Darktide  The Gunk 46 41 Th Mediu 491 Pha tasy St r O l ne 2 Ne Gen sis  Cro sfire 54 9 Fab;Neutral;Neutral;Negative;Negative;Neutral
938; god look at them mountains in Minecraft taking out the cloud rendering helps just an fyi                  ;Neutral;Neutral;Positive;Positive;Neutral
237;This like movie                  ;Neutral;Neutral;Positive;Positive;Positive
818;Halo was lookin like some parts were made in forge Looked blocky in some parts of the map Minecrafty                  ;Neutral;Neutral;Positive;Positive;Negative
25;Like For Xbox  Comment For Ps5                  ;Neutral;Neutral;Positive;Positive;Neutral
949;If microsoft studios cannot deliver Halo how can i expect them to give good console Um until now i was xbox fan but i think this time its worth buying ps5 insted of fake 12TF xbox Its gimmick DONT BUY NEXT XBOX                  ;Positive;Positive;Negative;Positive;Negative
119;Buying all those studio to make casual game                  ;Negative;Negative;Positive;Positive;Negative
95;I feel like this event helped Xbox clutch up in the Gulag now they just gotta get back in the game                  ;Negative;Negative;Positive;Positive;Neutral
1081;If u guys want me to choose u instead of ps5  then u must have black myth wukong as your exclusive game plz u can do this                  ;Negative;Negative;Positive;Positive;Neutral
910;meh                  ;Neutral;Neutral;Negative;Negative;Negative
227;Feel so sorry for Xbox players  Maybe 5 years from now you might actually get good content but I doubt it                  ;Positive;Positive;Negative;Positive;Negative
1082;Original thought provoking moving and sometimes quite bleak Im glad I played this but Im not entirely convinced its recommended                  ;Negative;Negative;Positive;Positive;Negative
513;bruh I knew they were lying about fable                  ;Neutral;Neutral;Negative;Neutral;Negative
754;OBSIDIAN CAME TO PLAY                  ;Neutral;Neutral;Positive;Positive;Positive
